PokemonID	name	pokedex_number	PokemonPhase_5cat	generation	type1	type2	height_m	weight_kg	hp	attack	defense	sp_attack	sp_defense	speed	total	catch_rate	percentage_male	base_happiness_8	special_status	gender_unknown	dual_type	is_rock	is_steel	is_ground	is_water	is_fire	is_grass	is_bug	is_ice	is_dragon	is_flying	is_fairy	is_ghost	is_poison	is_electric	is_normal	is_dark	is_psychic	is_fighting	gender_cat	happiness_cat	BMI
1	Bulbasaur	1	Base	1	grass	poison	0.7	6.9	45	49	49	65	65	45	318	45	87.5	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Mostly males	Normal	14.08163265
1	Ivysaur	2	Phase1	1	grass	poison	1	13	60	62	63	80	80	60	405	45	87.5	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Mostly males	Normal	13
1	Venusaur	3	Phase2	1	grass	poison	2	100	80	82	83	100	100	80	525	45	87.5	50	normal	0	Dual	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Mostly males	Normal	25
4	Charmander	4	Base	1	fire	NA	0.6	8.5	39	52	43	60	50	65	309	45	87.5	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	23.61111111
4	Charmeleon	5	Phase1	1	fire	NA	1.1	19	58	64	58	80	65	80	405	45	87.5	50	normal	0	Single	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	15.70247934
4	Charizard	6	Phase2	1	fire	flying	1.7	90.5	78	84	78	109	85	100	534	45	87.5	50	normal	0	Dual	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	Mostly males	Normal	31.31487889
7	Squirtle	7	Base	1	water	NA	0.5	9	44	48	65	50	64	43	314	45	87.5	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	36
7	Wartortle	8	Phase1	1	water	NA	1	22.5	59	63	80	65	80	58	405	45	87.5	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	22.5
7	Blastoise	9	Phase2	1	water	NA	1.6	85.5	79	83	100	85	105	78	530	45	87.5	50	normal	0	Single	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mostly males	Normal	33.3984375
10	Caterpie	10	Base	1	bug	NA	0.3	2.9	45	30	35	20	20	45	195	255	50	50	normal	0	Single	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	32.22222222
10	Metapod	11	Phase1	1	bug	NA	0.7	9.9	50	20	55	25	25	30	205	120	50	50	normal	0	Single	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Equal	Normal	20.20408163
10	Butterfree	12	Phase2	1	bug	flying	1.1	32	60	45	50	90	80	70	395	45	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	Equal	Normal	26.44628099
13	Weedle	13	Base	1	bug	poison	0.3	3.2	40	35	30	20	20	50	195	255	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	35.55555556
13	Kakuna	14	Phase1	1	bug	poison	0.6	10	45	25	50	25	25	35	205	120	50	50	normal	0	Dual	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Equal	Normal	27.77777778
